tps,nr_payments,latency_sec
4.631119527568395,1000,19.603053759519
5.039958589704404,2000,19.861314733053
5.107254876905566,3000,19.536802437539997
5.0976842685345645,4000,19.519134079439997
5.060265293807268,5000,19.793173470174
5.156261634496906,6000,19.414704704247
5.1602872994406255,7000,19.490833211647
5.263020115352047,8000,19.030056603425
4.993489952045285,9000,19.343062524522
5.172119320621198,10000,20.007153774311
5.156088562968604,11000,19.331292486185
5.04617540552743,12000,19.897003475604002
5.145840194436547,13000,18.995382933665002
5.271652661416837,14000,19.495691591588997
5.191856346811794,15000,18.956189183595
5.160892080525286,16000,19.477132771613
5.038530630781739,17000,19.814348961462002
